G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
49.04911084,46.42207816,49.65,116.62,108.305,97.24,234.6,215.82,221.07,49.755,112.2,217.12
49.29830121,46.3371699,50.71,117.14,107.85,93.5,233.89,214.055,220.53,48.655,112.565,212.76
48.78831847,46.75865542,49.765,116.59,107.19,94.62,231.18,213.56,220.38,49.67,110.14,211.595
49.73687639,45.39127284,49.365,110.125,108.58,95.9,226.515,219.615,219.735,49.215,113.515,213.34
48.99593519,44.84164614,50.525,111.51,107.59,98.63,226.735,212.43,215.895,48.86,110.255,213.275
49.21373541,45.48755419,48.87,113.845,106.115,96.125,228.37,216.7,216.765,49.31,110.54,212.395
48.27244951,45.89058887,48.96,112.13,108.75,96.025,230.625,210.21,217.23,48.665,112.2,211.76
49.00719309,45.12516072,48.925,114.405,106.645,95.185,224.2,216.58,218.35,48.925,112.565,212.335
48.41058997,45.66907516,49.17,115.585,109.385,96.175,222.68,212.285,214.665,49.085,110.05,209.95
49.24383733,45.13959635,50.065,112.555,110.46,95.52,227.765,211.46,216.15,49.155,110.785,214.025
48.16863354,45.39198224,49.155,114.625,105.955,94.1,227.13,211.245,211.075,49.355,109.755,211.755
47.29034891,45.73070164,49.715,116.525,107.27,95.81,231.885,215.64,213.005,48.075,110.795,210.14
47.17891778,44.86326949,49.27,111.12,110.565,94.795,229.06,216.225,213.74,48.175,111.085,212.89
47.83638567,45.38166028,49.49,111.205,106.35,94.75,221.915,212.81,215.68,48.44,112.065,211.03
49.25157613,44.88009993,49.63,115.18,106.73,93.445,225.295,212.46,213.905,48.575,111.095,206.805
47.83327581,45.68628972,49.185,111.675,104.625,93.9,224.425,208.695,214.545,48.225,111.01,209.66
48.35272505,44.8062959,49.115,110.565,105.775,93.675,219.095,209.885,215.07,48.595,113.735,215.22
48.59502716,45.03948136,48.27,112.715,105.1,92.865,223.975,210.42,213.62,48.155,109.44,211.75
46.50060826,46.24852034,49.615,113.28,105.845,93.795,228.755,213.54,214.525,49.995,108.715,212.025
47.30188544,44.69497711,48.86,109.99,108.32,93.35,219.39,207.39,212.94,49.66,111.235,213.06
47.90811418,45.14957779,49.555,112.28,108.19,94.48,222.06,210.955,217.26,47.925,108.78,205.875
47.50546342,46.69389308,48.99,111.085,105.035,95.2,220.04,211.09,214.87,47.915,109.285,209.16
47.2932509,44.38795495,47.545,110.28,104.395,94.425,226.05,210.755,213.135,47.925,110.63,208.74
47.86606163,44.01621456,47.88,112.735,106.405,95.27,221.75,209.345,213.985,48.01,108.45,205.55
47.52858079,44.23687145,48.555,113.145,104.32,91.52,229.585,208.59,211.585,48.06,110.76,205.88
48.16537825,45.85612193,48.195,110.865,106.87,94.255,222.29,209.1,216.645,48.41,108.81,206.535
47.66704226,43.7037798,48.45,112.28,104.845,93.21,224.555,208.44,211.645,48.04,108.145,208.435
46.14990187,44.87585917,48.145,110.625,104.215,92.715,223.01,212.18,212.9,48.675,110.67,209.415
46.44573272,45.05206131,48.015,113.255,102.495,93.305,222.425,203.665,206.235,48.46,109.845,206.705
47.7724141,43.28832531,48.295,108.64,106.53,94.715,217.49,208.245,209.065,49.04,109.98,203.06
47.08752352,44.22891504,48.42,110.165,103.945,91.915,220.35,210.12,216.76,46.77,109.42,206.605
45.85259223,45.01748611,48.005,109.915,105.035,93.43,221.8,204.605,211.59,46.645,109.635,205.28
46.33424224,45.07129502,47.655,106.985,103.875,95.68,224.955,204.45,210.02,47.64,108.34,205.905
47.85723861,44.66574223,47.37,107.84,103.035,90.565,220.29,204.64,211.625,47.545,109.18,209.615
46.11454785,44.25866151,48.02,107.97,104.44,91.19,227.775,207.66,211.11,48.17,108.44,205.81
45.96674076,43.70407489,48.86,111.69,105.435,90.825,223.4,209.44,212.035,47.635,109.965,202.985
46.1123772,44.11795387,47.98,107.075,105.165,91.3,218.93,205.795,209.4,47.95,108.89,204.89
46.47127838,44.80123054,47.73,107.805,103.11,93.035,219.285,201.255,211.935,47.81,108.325,208.985
46.58927112,43.00552697,46.225,106.075,105.17,93.35,218.655,207.27,211.48,47.87,107.505,207.03
45.82266019,44.48894949,47.68,107.5,102.445,90.34,217.48,206.48,208.83,47.555,108.955,204.82
44.93050819,44.60500687,47.75,107.245,105.145,92.14,218.815,205.655,208.115,46.9,107.675,204.995
45.60944492,44.02010581,47.69,110.045,103.24,90.7,211.805,205.675,211.465,46.595,107.9,206.105
47.11614312,43.17506644,46.46,107.78,105.3,91.61,217.1,208.195,207.095,47.5,107.945,204.655
46.5644442,44.1709043,47.02,108.875,102.63,88.74,221.46,206.755,208.39,48.47,107.975,200.94
45.65430028,43.74649135,47.4,109.615,102.33,91.035,214.645,199.655,209.63,47.395,108.915,203.375
45.96088425,43.17476851,46.17,109.305,104.52,91.34,220.815,205.29,206.99,46.695,106.83,205.3
45.25277389,43.03917269,46.565,107.275,102.95,90.74,216.98,205.21,205.225,46.37,106.935,203.54
46.56322689,42.22279825,46.6,107.025,101.02,89.065,215.155,202.95,209.825,46.67,106.735,203.655
45.63582465,42.91590744,47.745,105.485,101.76,90.045,216.91,203.935,207.355,47.535,107.76,205.155
45.80643525,42.677812,46.48,106.915,102.955,89.32,209.95,201.27,205.69,46.935,108.19,202.315
45.90002772,43.38095284,46.37,107.41,103.765,90.4,217.405,201.045,205.91,46.39,106.62,202.695
46.28753556,43.36032882,47.345,106.015,99.51,89.785,212.08,197.825,203.82,46.175,108.49,201.955
46.71592158,43.74411441,46.24,107.255,101.655,89.09,212.565,204.24,203.435,45.98,106.995,201.47
46.81816496,43.1501018,46.34,107.245,102.45,89.715,215.24,203.06,204.27,47.34,105.24,200.92
45.81768827,42.90364377,46.315,108.355,101.54,88.835,217.675,202.825,208.675,46.715,106.435,200.195
45.06525125,43.06020437,46.39,107.385,99.11,90.745,216.91,199.875,199.895,47.44,105.72,202.805
45.81825179,42.38148435,47.285,106.18,100.715,90.485,206.88,202.255,202.52,46.66,106.945,197.635
47.12303124,42.29725785,46.39,106.24,98.24,89.19,216.13,200.115,199.22,46.745,108.39,202.025
45.80805037,43.35206481,47.215,106.91,100.715,90.195,216.92,201.72,204.925,46.755,104.085,200.565
